English word,French word,Frequency
abide,respecter,36
about,sur,402
above,au dessus,146
abroad,à l'étranger,62
absence,absence,54
abuse,abuser de,45
according,selon,44
account,Compte,44
accuse,accuser,37
acquainted,connaissance,38
action,action,114
advantage,avantage,72
advice,Conseil,42
affairs,affaires,66
affection,affection,72
affections,affections,41
afraid,peur,40
after,après,404
afterwards,ensuite,37
again,encore,767
alive,vivant,89
almost,presque,160
alone,seul,235
along,le long de,111
already,déjà,146
although,bien que,78
always,toujours,61
ambition,ambition,44
ancient,ancien,77
angel,ange,51
anger,colère,53
another,un autre,427
answer,répondre,379
anything,n'importe quoi,104
apparel,vêtements,39
appear,apparaître,128
appears,apparaît,49
approach,approche,71
argument,argument,67
ariel,Ariel,90
armour,armure,40
aside,de côté,464
asleep,endormi,59
assure,assurer,50
athens,Athènes,71
attend,assister,115
attended,assisté,44
authority,autorité,54
avoid,éviter,37
awake,éveillé,76
awhile,quelque temps,101
banish,Bannir,0
banish,bannir,35
barren,Dénudé,39
bassianus,bassianus,44
bastard,Connard,207
battle,bataille,111
beard,barbe,94
bearing,palier,69
bears,ours,106
beast,la bête,71
beaten,battu,45
beauty,beauté,200
because,car,186
become,devenir,140
bedford,Bedford,47
before,avant,834
beggar,mendiant,59
begin,commencer,112
behalf,nom,44
behind,derrière,117
behold,voir,157
being,étant,661
believe,croyez,232
belike,être comme,41
below,au dessous de,53
benefit,avantage,38
besides,outre,107
betray,trahir,38
better,mieux,593
between,entre,236
beyond,au-delà,59
birth,naissance,85
bishop,éVêQUE,0
bishop,évêque,42
bitter,amer,74
black,noir,161
blame,faire des reproches,81
bless,bénir,104
blessing,bénédiction,45
blest,heureux,52
blind,aveugle,80
blood,du sang,639
blows,coups,70
blunt,cru,66
blush,rougir,50
bodies,corps,43
bones,des os,74
borne,supporté,78
bottom,bas,102
bought,acheté,49
bound,lié,174
bounty,prime,39
brain,cerveau,78
brains,cerveaux,45
brave,courageux,160
breast,Sein,96
breath,souffle,208
breed,race,48
brief,bref,90
bright,brillant,68
bring,apporter,443
broke,cassé,84
brook,ruisseau,76
brother,Frère,0
brother,frère,556
brought,apporté,195
brows,sourcils,43
burden,fardeau,45
buried,enterré,56
burning,brûlant,44
business,Entreprise,231
cannot,ne peux pas,761
capitol,Capitole,42
captain,capitaine,169
cardinal,CARDINAL,1
cardinal,cardinal,143
cares,se soucie,36
carry,porter,86
castle,Château,103
catch,capture,68
cause,cause,337
cease,cesser,46
certain,certain,177
chain,chaîne,63
chair,chaise,38
challenge,défi,47
chamber,chambre,112
chance,chance,106
change,changement,158
charge,charge,200
charity,charité,53
chaste,chaste,37
cheek,joue,73
cheer,acclamation,72
chide,gronder,48
chief,chef,107
child,enfant,231
choice,choix,68
church,église,62
cinna,Cinna,4
cinna,cinna,39
citizen,citoyenne,185
civil,civil,52
claim,prétendre,61
clarence,Clarté,1
clarence,clarté,207
claud,claud,123
claudio,Claudio,173
clear,clair,59
clifford,Clifford,134
close,proche,102
cloten,cailloter,103
clothes,vêtements,39
clouds,des nuages,58
clown,pitre,349
college,Université,225
colour,Couleur,73
comes,vient,615
comfort,confort,185
coming,venir,153
cominius,cominius,103
command,commander,173
commanded,commandé,39
commend,saluer,89
commercial,COMMERCIAL,220
commercial,commercial,220
commission,commission,46
commit,commettre,38
common,commun,151
companion,un compagnon,36
company,entreprise,204
complete,Achevée,245
complexion,complexion,39
condition,état,56
conduct,conduite,47
confess,avouer,126
conscience,conscience,123
consent,consentement,94
consider,considérer,48
constable,gendarme,84
constant,constant,47
contempt,mépris,45
content,contenu,159
contrary,contraire,46
copies,COPIES,1
copies,copies,445
copyright,droits d'auteur,227
could,pourrait,622
council,conseil,48
counsel,Conseil,129
count,compter,106
counterfeit,contrefaire,51
countess,comtesse,120
country,pays,137
courage,courage,66
course,cours,156
court,tribunal,255
courtesy,courtoisie,63
cousin,cousin,260
coward,lâche,84
crave,demander,41
creature,créature,66
credit,crédit,50
cromwell,Cromwell,43
cross,traverser,62
crown,couronne,257
cruel,cruel,71
cunning,ruse,74
cupid,Cupidon,39
curse,malédiction,98
custom,Douane,42
dagger,dague,41
damned,damné,43
dance,Danse,72
danger,danger,98
darkness,obscurité,38
daughter,fille,410
deadly,mortel,48
dearest,très cher,54
dearly,chèrement,41
death,Décès,1
death,décès,857
deeds,actes,118
defend,défendre,65
degree,diplôme,46
delight,délice,55
deliver,livrer,99
demand,demande,59
denied,refusé,54
depart,partir,64
desert,désert,43
deserve,mériter,63
desire,le désir,217
despair,désespoir,53
desperate,désespéré,48
despite,malgré,51
device,dispositif,41
devil,diable,216
devise,concevoir,47
didst,didst,182
dinner,dîner,86
discourse,discours,58
discover,découvrir,34
disgrace,disgrâce,45
dishonour,déshonorer,38
dispatch,envoi,71
displeasure,mécontentement,39
disposition,disposition,43
distributed,distribué,442
divine,Divin,48
doctor,Docteur,0
doctor,docteur,107
doing,Faire,68
dolabella,Dolabella,38
doors,des portes,61
double,double,83
doubt,doute,171
download,Télécharger,220
dramatis,dramatis,35
drawn,tiré,84
dread,crainte,46
dreadful,horrible,58
dream,rêver,119
dreams,rêves,45
drink,boisson,156
drops,gouttes,51
drown,Noyer,0
drown,noyer,42
drums,tambours,41
drunk,ivre,67
duncan,Duncan,36
durst,durst,50
dwell,habiter,39
dying,en train de mourir,45
early,de bonne heure,49
earth,Terre,299
edmund,Edmund,70
effect,effet,71
egypt,Egypte,45
either,Soit,165
elbow,coude,48
elder,aîné,39
embrace,embrasse,67
emilia,Émilie,148
emperor,Empereur,0
emperor,empereur,89
empty,vide,49
encounter,rencontre,51
endure,supporter,75
enemies,ennemis,110
enemy,ennemi,156
enjoy,prendre plaisir,46
enobarbus,énobarbus,153
enough,assez,310
enter,Entrer,1
enter,entrer,2096
entertain,divertir,38
entertainment,divertissement,36
entreat,supplier,110
equal,égal,43
estate,biens,47
eternal,éternel,37
every,chaque,492
